Word,Frequency
the,1514
Welles,698
to,688
a,653
and,440
his,423
in,377
WELLES,365
of,363
--,355
I,315
you,288
on,248
with,197
is,191
He,191
INT.,182
it,176
out,175
at,166
The,165
DAY,159
from,127
for,117
up,116
looks,114
NIGHT,110
EXT.,100
back,97
her,96
are,94
MRS,92
be,91
have,88
down,86
takes,85
into,85
me,83
he,82
(V.O.),81
Eddie,79
You,79
but,79
I'm,77
one,76
Machine,73
EDDIE,71
this,70
as,70
your,68
DINO,67
WELLES',66
comes,66
MAX,64
it.,64
get,62
can,61
Welles',60
MATHEWS,59
What,58
through,58
not,58
looking,58
A,58
that,57
VELVET,57
by,57
what,57
ROOM,55
CHRISTIAN,55
know,54
him,54
It's,54
don't,54
do,53
sits,53
an,53
all,53
was,52
Max,51
Mrs.,51
car,51
about,49
opens,48
phone),48
gun,48
goes,48
like,48
door,48
Eddie's,48
pulls,47
gets,46
"HOUSE,",46
puts,46
towards,43
if,43
Dino,43
off,42
my,41
I'll,41
AMY,40
THE,40
it's,40
they,39
still,38
"up,",38
turns,37
VOICE,37
Amy,36
over,36
she,36
just,35
him.,35
behind,35
we,35
got,34
walks,34
(into,34
"back,",33
OFFICE,33
"it,",33
LONGDALE,32
has,32
around,32
MONTAGE,32
see,32
CAR,32
want,32
so,32
tell,32
across,31
where,31
moves,31
you.,31
?,30
old,29
never,29
can't,29
open,28
"gun,",28
MARY'S,28
other,28
hand,28
picks,28
go,28
hands,28
They,28
look,27
Masked,27
watches,27
There's,27
starts,27
You're,27
going,27
She,26
I've,26
Longdale,26
did,26
there,26
think,26
them,25
few,25
stands,25
find,25
CONTINUOUS,25
ON,24
Welles.,24
If,24
cont),24
"(V.O.,",24
or,24
front,24
trying,24
any,24
been,24
her.,23
He's,23
Machine's,23
there's,23
Mathews,23
finds,23
some,23
Man,23
It,22
There,22
me.,22
PHONE,22
when,22
This,22
you're,22
tries,22
That's,22
something,22
he's,22
make,21
didn't,21
"car,",21
eyes,21
till,21
...,21
come,21
Christian,21
only,20
no,20
(from,20
"bed,",20
We,20
face,20
how,20
two,19
girl,19
their,19
were,19
film,19
that's,19
"hand,",19
"Welles,",19
long,18
head,18
out.,18
far,18
much,18
IN,18
phone,18
"phone,",18
"him,",18
holding,18
"table,",18
KITCHEN,18
who,18
had,18
THROUGH,18
EDDIE'S,18
"you,",18
way,17
another,17
"door,",17
under,17
woman,17
How,17
room,17
gonna,17
man,16
8MM,16
very,16
getting,16
DIRECTOR,16
One,16
watching,16
against,16
"Machine,",16
bed.,16
runs,16
let,16
small,16
doing,16
uses,15
throws,15
even,15
Do,15
shuts,15
could,15
then,15
"away,",15
MAN,15
film.,15
put,15
"out,",15
would,15
away.,15
heads,15
begins,15
head.,15
BINOCULARS:,15
LIVING,15
Mr.,15
heading,15
snuff,15
it?,15
take,15
pushes,15
(pause),14
away,14
enters,14
"forward,",14
drops,14
MISSING,14
keeps,14
Who,14
than,14
last,14
it...,14
fucking,14
taking,14
Cindy's,14
FILM,13
you?,13
ever,13
beside,13
after,13
says,13
"stairs,",13
holds,13
told,13
"floor,",13
that.,13
up.,13
climbs,13
HEARD,13
should,13
"desk,",13
hits,13
room.,13
anything,13
know.,13
"Well,",13
say,13
five,13
here.,13
Mary,13
covered,12
me?,12
onto,12
three,12
little,12
call,12
MOTOR,12
makes,12
She's,12
good,12
give,12
backs,12
"chair,",12
lets,12
more,12
because,12
"her,",12
will,12
"room,",12
(listens),12
Why,12
here,12
phone.,12
back.,12
light,12
No,12
Don't,12
talking,12
"there,",11
shakes,11
MACHINE,11
saw,11
large,11
diary.,11
sure,11
"film,",11
gun.,11
What's,11
PHOTO,11
staring,11
"in,",11
girl's,11
between,11
huge,11
I'd,11
high,11
In,11
shows,11
"""Dear",11
doesn't,11
me...,11
bed,11
dark,11
HOUSE,11
door.,11
guy,11
stares,11
"But,",11
enough,11
knife,11
table,11
BEDROOM,11
face.,11
falls,11
"knees,",11
house,11
Machine.,11
sit,11
car.,10
"head,",10
NUN,10
"around,",10
pulling,10
crosses,10
WOMAN,10
blood,10
blue,10
you'll,10
wasn't,10
cut,10
husband,10
After,10
WALL:,10
place,10
"on,",10
went,10
them.,10
"street,",10
coming,10
"stands,",10
both,10
LODGE,10
need,10
too,10
before,10
"""...",10
waiting,10
money.,10
on.,10
floor,10
And,10
women,10
"me,",10
kind,10
money,10
Anne,9
its,9
STREET,9
table.,9
"moment,",9
STREETS,9
hangs,9
private,9
down.,9
house.,9
happened,9
big,9
full,9
this...,9
"girl,",9
leaving,9
office,9
Longdale's,9
porn,9
WILSHIRE,9
FLOOR,9
now,9
stand,9
lays,9
window,9
hundred,9
street.,9
believe,9
HALLWAY,9
FILE,9
next,9
nothing,9
hand.,9
Cindy,9
PICTURE,9
seen,9
brings,9
My,9
wears,9
eyes.,9
"this,",9
"Eddie,",9
many,9
six,9
might,9
up...,9
examines,9
bathroom,9
Nobody,9
dead,9
VIDEO,9
fuck,8
thousand,8
"BUILDING,",8
PERSONS,8
ESTABLISHING,8
glances,8
"enters,",8
real,8
past,8
off.,8
reaches,8
ADJACENT,8
made,8
empty,8
left,8
file,8
TO,8
stops,8
walking,8
keep,8
you...,8
window.,8
slowly,8
lights,8
forward...,8
WAREHOUSE,8
"Amy,",8
back...,8
desk,8
himself,8
supposed,8
exactly,8
every,8
"ROOM,",8
Not,8
box,8
probably,8
Thomas,8
Where,8
His,8
PUNCHES,8
work,8
arms,8
these,8
MIAMI,8
(to,8
laid,8
kill,8
suit,8
near,8
rental,8
now.,8
forward,8
steps,8
floor.,8
people,8
"that,",8
closes,8
drives,8
sitting,8
"eyes,",8
BOXES,7
BOOTH,7
"rises,",7
CAMERA,7
DEPOSIT,7
Amy.,7
living,7
does,7
him...,7
showing,7
Amy's,7
When,7
SAFE,7
really,7
counter.,7
making,7
Go,7
around.,7
kitchen,7
rises,7
time,7
won't,7
black,7
GARAGE,7
wrapped,7
anything.,7
working,7
bullets,7
drinks,7
Are,7
this.,7
sees,7
Just,7
sits.,7
set,7
grabs,7
"over,",7
telling,7
"So,",7
MOTEL,7
No.,7
tears,7
grips,7
Can,7
in.,7
walk,7
"small,",7
took,7
searching,7
desk.,7
woman's,7
knows,7
Fuck,7
