Word,Frequency
the,1463
a,693
and,675
to,667
-,613
of,562
I,525
is,488
in,430
you,369
MOZART,348
The,338
SALIERI,312
his,293
He,284
at,241
with,223
Mozart,206
on,205
it,194
he,177
for,155
INT.,147
my,144
from,143
CONSTANZE,143
Salieri,141
are,135
not,122
him,122
me,119
that,119
be,119
as,117
I'm,112
OLD,111
we,110
A,110
all,107
her,106
1780'S,105
by,103
this,99
see,98
JOSEPH,95
music,92
have,92
was,91
We,91
You,90
do,89
up,85
What,85
And,84
one,83
an,83
NIGHT,80
your,77
it.,77
him.,72
She,71
but,71
little,70
It,70
into,69
like,65
CUT,65
DAY,65
TO:,63
very,61
don't,61
who,61
has,61
out,60
know,59
SCHIKANEDER,59
Constanze,59
will,58
Herr,58
they,57
It's,55
just,53
back,52
down,52
you.,51
me.,51
she,51
They,50
think,49
ROOM,49
hear,49
LEOPOLD,48
This,48
Your,48
looks,48
But,47
SCHLUMBERG,47
"Well,",47
can,47
"Oh,",45
Do,45
them,45
Mozart.,45
if,44
SALIERI'S,44
what,44
man,43
about,43
How,42
Schikaneder,42
stares,42
no,42
which,42
only,41
door,41
Then,41
(to,41
some,40
could,40
door.,40
VON,40
would,40
there,39
sits,39
you?,38
ORSINI-ROSENBERG,38
turns,38
1790'S,38
All,38
so,38
want,37
now,37
His,37
it?,37
through,37
around,37
stands,36
APARTMENT,35
more,35
"No,",35
their,35
me!,35
takes,34
VOGLER,34
CAVALIERI,33
My,33
room.,33
"Mozart,",32
it's,32
go,32
THE,31
VIENNA,31
"him,",30
can't,30
then,30
off,30
look,30
over,30
them.,30
HOUSE,30
LORL,30
MOZART'S,30
give,29
"you,",29
As,29
going,29
I've,29
Why,29
really,28
tell,28
come,28
There,28
I'll,28
old,28
In,28
had,28
other,28
(V.O.),27
good,27
Leopold,27
looking,27
first,27
EXT.,27
"Yes,",27
room,27
opens,26
"CU,",26
here.,26
when,26
young,26
"me,",25
sir.,25
goes,25
own,25
Emperor,25
two,25
still,25
Is,25
never,25
"it,",24
hand.,24
does,24
or,24
"Salieri,",23
stage,23
Oh,23
too,23
three,23
Majesty.,23
Now,23
work,23
Just,23
comes,23
didn't,22
people,22
Salieri.,22
did,22
On,22
am,22
how,22
got,22
that's,22
been,22
Von,22
Who,22
suddenly,22
much,22
That's,21
HOSPITAL,21
STRACK,21
He's,21
again.,21
most,20
playing,20
COMMENDATORE,20
wearing,20
end,20
Mozart's,20
another,20
At,20
here,20
SALON,20
love,20
plays,20
Don,20
her.,20
(singing),20
scene,20
staring,20
same,19
won't,19
OPERA,19
Come,19
Suddenly,19
that.,19
music.,19
"Majesty,",19
let,19
PALACE,19
hand,19
starts,19
Yes.,19
get,19
that?,18
mean,18
1823,18
So,18
play,18
You're,18
BEDROOM,18
sitting,18
such,18
small,18
now.,18
being,18
need,17
where,17
our,17
leaves,17
Of,17
should,17
take,17
must,17
than,17
any,17
many,17
last,17
God,17
Tell,16
Mozart!,16
That,16
(singing,16
IN,16
What?,16
make,16
its,16
under,16
FRAU,16
appears,16
"room,",16
after,16
right,16
know.,16
you!,15
back.,15
servant,15
second,15
time,15
stops,15
OF,15
us,15
quite,15
Old,15
SWIETEN,15
puts,15
voice,15
wife,15
Not,15
An,15
WEBER,15
Joseph,15
AFTERNOON,15
Why?,15
LADY,15
before,15
without,15
hands,15
Vienna.,14
Don't,14
opening,14
father,14
great,14
man.,14
head.,14
Madame,14
help,14
whole,14
actually,14
opera,14
(speaking),14
each,14
were,14
open,14
heard,14
it!,14
this?,14
MADAME,14
soprano,14
say,14
Please.,14
girl,13
Mass,13
up.,13
he's,13
If,13
audience,13
nothing,13
long,13
in.,13
sings,13
put,13
next,13
LIVING,13
Stop,13
Thank,13
Did,13
Giovanni,13
is.,13
wig,13
COLLOREDO,13
Salieri's,13
She's,13
dressed,13
saw,13
Court,13
sees,13
played,12
lies,12
Orsini-Rosenberg,12
not?,12
eyes,12
singing,12
away,12
even,12
Vienna,12
Go,12
Emperor.,12
dark,12
course,12
bows,12
stay,12
holding,12
group,12
Give,12
"no,",12
Are,12
Would,12
march,12
crowd,12
full,12
bed.,12
One,12
keep,12
every,12
moves,12
"yes,",12
"Ah,",12
across,12
best,12
few,12
speak,12
way,12
floor.,12
"again,",11
"man,",11
beside,11
table.,11
son,11
moment,11
something,11
face,11
composer,11
anything,11
pause.,11
dear,11
To,11
onto,11
doesn't,11
standing,11
wine,11
again,11
Here,11
me?,11
behind,11
all.,11
"up,",11
CORRIDOR,11
stage.,11
on.,11
waiting,11
try,11
I'd,11
What's,11
also,11
manuscript,11
Papa!,10
notes,10
Let,10
this.,10
front,10
VALET,10
men,10
start,10
please.,10
smiles,10
Really?,10
please!,10
"on,",10
head,10
figure,10
Show,10
Be,10
Please!,10
rather,10
money.,10
Archbishop,10
tremendous,10
said,10
royal,10
sound,10
PAPAGENO,10
set,10
Good,10
sure,10
thank,10
BACK,10
out.,10
made,10
watches,10
trying,10
Requiem,10
life.,10
dancing,10
forte-piano,10
seen,10
arms,10
beat,10
show,10
talk,10
obviously,10
opera.,10
time.,10
falls,10
boy,10
STREET,10
toward,10
down.,10
off.,10
bursts,10
you'll,9
Father,9
yes.,9
Constanze's,9
middle,9
"Constanze,",9
Forgive,9
fades,9
box,9
bed,9
gets,9
large,9
white,9
father's,9
better,9
picks,9
alone,9
makes,9
runs,9
With,9
table,9
not.,9
Excuse,9
night.,9
knew,9
German,9
Some,9
ever,9
thing,9
leave,9
write,9
Well,9
mask,9
above,9
no.,9
musicians,9
Italian,9
years,9
Ah-ha.,9
simply,9
him?,9
continues,9
went,9
dance,9
name,9
might,9
Bonno,9
watching,9
gives,9
shall,9
tries,9
Wolfgang,9
pages,9
Well.,9
cut,9
hat,9
Salzburg.,9
told,9
No,9
see.,9
May,9
chord,8
working,8
himself.,8
anyone,8
do.,8
"that,",8
When,8
alone.,8
closes,8
piece,8
For,8
Cavalieri,8
Lorl,8
Can,8
girl.,8
offer,8
Weber,8
course.,8
